District number,District name,Liberal,Conservative,Green Party,NDP-New Democratic Party,People's Party,Bloc Québécois,Independent,Other votes,Winner_shorthand,Total votes
35072,Oakville,30265,25561,3704,4928,798,0,0,149,Liberal,65405
35066,Niagara Centre,20292,17987,3054,15469,776,0,0,385,Liberal,57963
35099,Simcoe--Grey,23925,32812,8589,8462,1416,0,0,305,PC,75509
24037,LaSalle--Émard--Verdun,22803,3690,3583,8628,490,12619,274,310,Liberal,52397
24023,Compton--Stanstead,21731,8446,3044,5607,586,18571,0,255,Liberal,58240
35106,Thunder Bay--Superior North,18502,11036,3639,9126,734,0,0,140,Liberal,43177
35112,Waterloo,31085,15615,6184,9710,1112,0,0,2,Liberal,63708
59037,North Island--Powell River,8251,20502,8891,23834,1102,0,287,48,NDP,62915
59023,Port Moody--Coquitlam,15695,16855,3873,16702,821,0,0,58,PC,54004
59022,Pitt Meadows--Maple Ridge,16125,19650,4332,12958,698,0,468,1,PC,54232
59036,Vancouver Granville,14088,11605,2683,6960,431,0,17265,1,Independent,53033
35113,Wellington--Halton Hills,19777,33044,8851,6499,1509,0,0,1,PC,69681
35107,Timmins--James Bay,9443,9907,1257,14885,1248,0,0,0,NDP,36740
24022,Chicoutimi--Le Fjord,7504,16155,1388,2855,359,15321,0,308,PC,43890
24036,Lac-Saint-Louis,34622,9083,4176,7263,805,3169,0,409,Liberal,59527
35098,Scarborough Southwest,28965,10502,2477,7865,590,0,0,236,Liberal,50635
35067,Niagara Falls,22690,24751,3404,12566,968,0,4997,358,PC,69734
35073,Oakville North--Burlington,33597,26484,2925,5866,751,0,0,1,Liberal,69624
35059,Mississauga East--Cooksville,27923,17664,1578,4643,637,0,0,178,Liberal,52623
35065,Newmarket--Aurora,26488,23252,3551,6576,588,0,0,1005,Liberal,61460
35071,Northumberland--Peterborough South,24977,27385,5524,9615,1460,0,0,0,PC,68961
24020,Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix,10608,15044,1355,2841,1045,18407,0,1335,Bloc,50635
24034,La Prairie,22504,5540,2565,4744,393,25707,0,102,Bloc,61555
35111,Vaughan--Woodbridge,25810,18289,1302,3910,852,0,165,0,Liberal,50328
24008,Beauport--Limoilou,13020,13185,2127,5599,1033,15149,0,79,Bloc,50192
35105,Thunder Bay--Rainy River,14498,12039,1829,11944,741,0,0,0,Liberal,41051
59020,North Okanagan--Shuswap,16783,36154,7828,11353,2027,0,0,0,PC,74145
59034,Vancouver Centre,23599,10782,7002,13280,724,0,180,380,Liberal,55947
59008,Coquitlam--Port Coquitlam,20178,19788,4025,13383,703,0,0,98,Liberal,58175
47008,Regina--Qu'Appelle,4543,24463,1282,7685,513,0,78,193,PC,38757
12009,South Shore--St. Margarets,21886,14744,6070,8361,667,0,541,249,Liberal,52518
12008,Sackville--Preston--Chezzetcook,19925,11211,5725,11860,816,0,0,0,Liberal,49537
47009,Regina--Wascana,15242,22418,1316,5801,450,0,128,0,PC,45355
59009,Courtenay--Alberni,8620,23936,9762,29790,0,0,0,172,NDP,72280
59035,Vancouver East,10085,6724,8062,29236,679,0,0,825,NDP,55611
59021,North Vancouver,26979,16908,7868,10340,835,0,0,0,Liberal,62930
35104,Thornhill,18946,29187,1600,3469,0,0,0,295,PC,53497
24009,Bécancour--Nicolet--Saurel,9332,8434,1697,2732,489,29653,0,6,Bloc,52343
35110,University--Rosedale,29652,9342,4861,12573,510,0,0,453,Liberal,57391
24035,Lac-Saint-Jean,13633,12544,1010,2753,448,23839,0,0,Bloc,54227
24021,Châteauguay--Lacolle,20118,5851,1929,4005,563,19479,0,462,Liberal,52407
35070,Nipissing--Timiskaming,19352,12984,3111,9784,2496,0,0,2,Liberal,47729
35064,Nepean,31933,23320,4379,9104,687,0,0,161,Liberal,69584
35058,Mississauga Centre,29974,15874,1646,5173,837,0,252,0,Liberal,53756
35060,Mississauga--Erin Mills,31181,19050,2147,5236,648,0,0,0,Liberal,58262
